Category,Label,Issue Count,Unique Users,Total Issues
size_sufficiency issues,,,,1212
,Count,23,,
,Unique Users,,22,
speed_performance issues,,,,
,Count,59,,
,Unique Users,,54,
accuracy_issues,,,,
,Count,42,,
,Unique Users,,34,
Label Analysis,,,,
,bug-unconfirmed,267,233,
,enhancement,203,170,
,bug,43,38,
,good first issue,25,18,
,demo,13,7,
,server/webui,4,4,
,Vulkan,3,3,
,model,17,17,
,help wanted,17,13,
,examples,1,1,
,nix,4,3,
,need feedback,5,5,
,testing,3,1,
,refactoring,11,2,
,breaking change,1,1,
,Intel GPU,3,2,
,research,15,9,
,need more info,11,9,
,macos,4,4,
,performance,16,12,
,high priority,3,3,
,invalid,1,1,
,Nvidia GPU,1,1,
,generation quality,12,10,
,AMD GPU,2,2,
,build,10,9,
,llama,3,3,
,hardware,5,5,
,training,1,1,
,wontfix,1,1,
,Less than 4 bits,2,2,
,threading,7,6,
,windows,4,4,
,duplicate,2,2,
,android,1,1,
,question,4,4,
,documentation,1,1,
